Date 	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 
30-Aug-23	EQ	99.5	100.5	97.2	94.7	99.7	99.8	99.07	102.85	44.35	"25,01,11,714"	"24,77,96,74,439.50"	"4,42,887"
29-Aug-23	EQ	92.75	95	92.6	92.35	94.6	94.7	94.14	102.85	44.35	"8,67,08,316"	"8,16,30,85,797.95"	"1,86,335"
28-Aug-23	EQ	96	96.1	91.75	91	92.35	92.35	92.93	102.85	44.35	"14,11,18,441"	"13,11,38,59,418.30"	"4,14,969"
25-Aug-23	EQ	93.35	93.35	90.05	93.8	92.05	91	91.19	102.85	44.35	"6,50,76,321"	"5,93,42,57,006.65"	"1,52,123"
24-Aug-23	EQ	95.75	95.75	93.2	94.3	93.65	93.8	94.11	102.85	44.35	"4,75,97,101"	"4,47,94,79,669.05"	"1,02,141"
23-Aug-23	EQ	92.95	95	92.05	91.9	94.85	94.3	93.38	102.85	44.35	"6,47,68,237"	"6,04,80,92,845.15"	"1,60,760"
22-Aug-23	EQ	90.3	94.3	90.1	89.75	92	91.9	92.94	102.85	44.35	"10,44,09,241"	"9,70,42,38,035.20"	"1,94,450"
21-Aug-23	EQ	90.5	90.5	88.3	89.35	89.9	89.75	89.2	102.85	44.35	"3,67,55,760"	"3,27,87,32,702.60"	"1,10,507"
18-Aug-23	EQ	91	91.4	89	91.15	89.25	89.35	90.09	102.85	44.35	"5,05,13,070"	"4,55,06,99,048.95"	"1,21,897"
17-Aug-23	EQ	92.3	93.25	90.5	91.9	90.65	91.15	91.91	102.85	44.35	"4,56,57,095"	"4,19,64,05,965.45"	"1,11,329"
16-Aug-23	EQ	92.45	95.6	91.5	92.75	92	91.9	93.18	102.85	44.35	"7,63,33,138"	"7,11,24,43,420.15"	"1,62,539"
14-Aug-23	EQ	93.4	93.4	91.35	93.45	92.9	92.75	92.63	102.85	44.35	"4,66,68,447"	"4,32,28,78,882.25"	"1,04,314"
11-Aug-23	EQ	94.6	95.2	93.05	94.25	93.35	93.45	93.71	102.85	44.35	"3,81,56,809"	"3,57,55,67,975.10"	"1,30,028"
10-Aug-23	EQ	94.1	96.15	93.25	94.1	93.95	94.25	94.83	102.85	44.35	"8,75,98,556"	"8,30,70,80,346.35"	"2,91,931"
09-Aug-23	EQ	93.9	94.85	91.6	93.45	94	94.1	93.27	102.85	44.35	"10,92,40,947"	"10,18,91,71,159.25"	"2,23,105"
08-Aug-23	EQ	98.35	100.3	92.7	97.6	93.35	93.45	95.25	102.85	44.35	"16,02,36,123"	"15,26,26,97,251.80"	"3,43,065"
07-Aug-23	EQ	97.4	102.85	96.35	95.4	97	97.6	99.88	102.85	44.35	"24,93,31,637"	"24,90,39,85,817.45"	"5,38,938"
04-Aug-23	EQ	89	98.4	88.4	86.55	95.35	95.4	95.03	98.4	44.35	"40,57,51,648"	"38,55,75,61,185.90"	"6,34,239"
03-Aug-23	EQ	81.6	88.4	81.6	85.05	86.45	86.55	85.16	88.4	44.35	"12,34,80,816"	"10,51,61,60,596.30"	"1,66,589"
